variant,run,app,mode,buildUs,layoutUs,paintUs,layoutPerformed,layoutSkipped,repainted,cached,cellsReplayed
before,1,dashboard,idle,0,0,246,0,1,0,0,0
before,1,dashboard,leaf,0,2,246,24,21,0,0,0
before,1,dashboard,full,0,6,247,144,0,0,0,0
before,1,dashboard,relayout,0,0,245,1,1,0,0,0
before,1,agent,idle,0,0,61,0,1,0,2,304
before,1,agent,leaf,0,1,65,21,6,1,1,304
before,1,agent,full,0,2,69,67,0,2,0,304
before,1,agent,relayout,0,0,61,1,1,0,2,304
before,1,files,idle,0,0,80,0,1,0,14,352
before,1,files,leaf,0,4,81,30,21,1,13,352
before,1,files,full,0,26,98,152,0,14,0,352
before,1,files,relayout,0,0,80,1,1,0,14,352
before,1,editor,idle,0,0,48,0,1,0,0,0
before,1,editor,leaf,0,0,48,20,8,0,0,0
before,1,editor,full,0,10,48,42,0,0,0,0
before,1,editor,relayout,0,0,48,1,1,0,0,0
before,1,finance,idle,0,0,247,0,1,0,0,0
before,1,finance,leaf,0,1,246,25,19,0,0,0
before,1,finance,full,0,12,246,283,0,0,0,0
before,1,finance,relayout,0,0,245,1,1,0,0,0
before,2,dashboard,idle,0,0,245,0,1,0,0,0
before,2,dashboard,leaf,0,1,244,24,21,0,0,0
before,2,dashboard,full,0,5,245,144,0,0,0,0
before,2,dashboard,relayout,0,0,244,1,1,0,0,0
before,2,agent,idle,0,0,65,0,1,0,2,304
before,2,agent,leaf,0,1,68,21,6,1,1,304
before,2,agent,full,0,2,72,67,0,2,0,304
before,2,agent,relayout,0,0,65,1,1,0,2,304
before,2,files,idle,0,0,82,0,1,0,14,352
before,2,files,leaf,0,4,83,30,21,1,13,352
before,2,files,full,0,27,101,152,0,14,0,352
before,2,files,relayout,0,0,82,1,1,0,14,352
before,2,editor,idle,0,0,49,0,1,0,0,0
before,2,editor,leaf,0,0,49,20,8,0,0,0
before,2,editor,full,0,10,50,42,0,0,0,0
before,2,editor,relayout,0,0,49,1,1,0,0,0
before,2,finance,idle,0,0,247,0,1,0,0,0
before,2,finance,leaf,0,1,246,25,19,0,0,0
before,2,finance,full,0,12,246,283,0,0,0,0
before,2,finance,relayout,0,0,247,1,1,0,0,0
after,1,dashboard,idle,0,0,208,0,1,0,0,0
after,1,dashboard,leaf,0,2,210,24,21,0,0,0
after,1,dashboard,full,0,6,209,144,0,0,0,0
after,1,dashboard,relayout,0,0,208,1,1,0,0,0
after,1,agent,idle,0,0,45,0,1,0,2,304
after,1,agent,leaf,0,1,48,21,6,1,1,304
after,1,agent,full,0,2,53,67,0,2,0,304
after,1,agent,relayout,0,0,45,1,1,0,2,304
after,1,files,idle,0,0,64,0,1,0,14,352
after,1,files,leaf,0,4,65,30,21,1,13,352
after,1,files,full,0,27,83,152,0,14,0,352
after,1,files,relayout,0,0,63,1,1,0,14,352
after,1,editor,idle,0,0,36,0,1,0,0,0
after,1,editor,leaf,0,0,36,20,8,0,0,0
after,1,editor,full,0,10,36,42,0,0,0,0
after,1,editor,relayout,0,0,36,1,1,0,0,0
after,1,finance,idle,0,0,204,0,1,0,0,0
after,1,finance,leaf,0,2,206,25,19,0,0,0
after,1,finance,full,0,12,204,283,0,0,0,0
after,1,finance,relayout,0,0,205,1,1,0,0,0
after,2,dashboard,idle,0,0,211,0,1,0,0,0
after,2,dashboard,leaf,0,2,211,24,21,0,0,0
after,2,dashboard,full,0,6,212,144,0,0,0,0
after,2,dashboard,relayout,0,0,210,1,1,0,0,0
after,2,agent,idle,0,0,46,0,1,0,2,304
after,2,agent,leaf,0,1,49,21,6,1,1,304
after,2,agent,full,0,2,54,67,0,2,0,304
after,2,agent,relayout,0,0,46,1,1,0,2,304
after,2,files,idle,0,0,64,0,1,0,14,352
after,2,files,leaf,0,4,65,30,21,1,13,352
after,2,files,full,0,27,83,152,0,14,0,352
after,2,files,relayout,0,0,64,1,1,0,14,352
after,2,editor,idle,0,0,36,0,1,0,0,0
after,2,editor,leaf,0,0,36,20,8,0,0,0
after,2,editor,full,0,10,36,42,0,0,0,0
after,2,editor,relayout,0,0,36,1,1,0,0,0
after,2,finance,idle,0,0,199,0,1,0,0,0
after,2,finance,leaf,0,1,200,25,19,0,0,0
after,2,finance,full,0,11,200,283,0,0,0,0
after,2,finance,relayout,0,0,199,1,1,0,0,0
