variant,run,app,mode,buildUs,layoutUs,paintUs,layoutPerformed,layoutSkipped,repainted,cached,cellsReplayed
before,1,dashboard,idle,0,0,251,0,1,0,0,0
before,1,dashboard,leaf,0,2,249,24,21,0,0,0
before,1,dashboard,full,0,6,249,144,0,0,0,0
before,1,dashboard,relayout,0,0,251,1,1,0,0,0
before,1,agent,idle,0,0,64,0,1,0,2,304
before,1,agent,leaf,0,1,67,21,6,1,1,304
before,1,agent,full,0,2,73,67,0,2,0,304
before,1,agent,relayout,0,0,64,1,1,0,2,304
before,1,files,idle,0,0,78,0,1,0,14,352
before,1,files,leaf,0,4,81,30,21,1,13,352
before,1,files,full,0,26,99,152,0,14,0,352
before,1,files,relayout,0,0,79,1,1,0,14,352
before,1,editor,idle,0,0,49,0,1,0,0,0
before,1,editor,leaf,0,0,49,20,8,0,0,0
before,1,editor,full,0,10,49,42,0,0,0,0
before,1,editor,relayout,0,0,49,1,1,0,0,0
before,1,finance,idle,0,0,258,0,1,0,0,0
before,1,finance,leaf,0,2,263,25,19,0,0,0
before,1,finance,full,0,13,260,283,0,0,0,0
before,1,finance,relayout,0,0,258,1,1,0,0,0
before,2,dashboard,idle,0,0,256,0,1,0,0,0
before,2,dashboard,leaf,0,2,256,24,21,0,0,0
before,2,dashboard,full,0,6,256,144,0,0,0,0
before,2,dashboard,relayout,0,0,256,1,1,0,0,0
before,2,agent,idle,0,0,65,0,1,0,2,304
before,2,agent,leaf,0,1,68,21,6,1,1,304
before,2,agent,full,0,2,74,67,0,2,0,304
before,2,agent,relayout,0,0,65,1,1,0,2,304
before,2,files,idle,0,0,80,0,1,0,14,352
before,2,files,leaf,0,4,82,30,21,1,13,352
before,2,files,full,0,26,100,152,0,14,0,352
before,2,files,relayout,0,0,80,1,1,0,14,352
before,2,editor,idle,0,0,48,0,1,0,0,0
before,2,editor,leaf,0,0,48,20,8,0,0,0
before,2,editor,full,0,10,48,42,0,0,0,0
before,2,editor,relayout,0,0,48,1,1,0,0,0
before,2,finance,idle,0,0,250,0,1,0,0,0
before,2,finance,leaf,0,1,252,25,19,0,0,0
before,2,finance,full,0,11,254,283,0,0,0,0
before,2,finance,relayout,0,0,251,1,1,0,0,0
after,1,dashboard,idle,0,0,253,0,1,0,0,0
after,1,dashboard,leaf,0,2,253,24,21,0,0,0
after,1,dashboard,full,0,6,252,144,0,0,0,0
after,1,dashboard,relayout,0,0,253,1,1,0,0,0
after,1,agent,idle,0,0,63,0,1,0,2,304
after,1,agent,leaf,0,1,65,21,6,1,1,304
after,1,agent,full,0,2,70,67,0,2,0,304
after,1,agent,relayout,0,0,63,1,1,0,2,304
after,1,files,idle,0,0,79,0,1,0,14,352
after,1,files,leaf,0,4,80,30,21,1,13,352
after,1,files,full,0,26,97,152,0,14,0,352
after,1,files,relayout,0,0,79,1,1,0,14,352
after,1,editor,idle,0,0,48,0,1,0,0,0
after,1,editor,leaf,0,0,48,20,8,0,0,0
after,1,editor,full,0,10,48,42,0,0,0,0
after,1,editor,relayout,0,0,48,1,1,0,0,0
after,1,finance,idle,0,0,248,0,1,0,0,0
after,1,finance,leaf,0,1,246,25,19,0,0,0
after,1,finance,full,0,12,245,283,0,0,0,0
after,1,finance,relayout,0,0,246,1,1,0,0,0
after,2,dashboard,idle,0,0,247,0,1,0,0,0
after,2,dashboard,leaf,0,2,247,24,21,0,0,0
after,2,dashboard,full,0,6,246,144,0,0,0,0
after,2,dashboard,relayout,0,0,247,1,1,0,0,0
after,2,agent,idle,0,0,61,0,1,0,2,304
after,2,agent,leaf,0,1,64,21,6,1,1,304
after,2,agent,full,0,2,69,67,0,2,0,304
after,2,agent,relayout,0,0,61,1,1,0,2,304
after,2,files,idle,0,0,79,0,1,0,14,352
after,2,files,leaf,0,4,81,30,21,1,13,352
after,2,files,full,0,26,98,152,0,14,0,352
after,2,files,relayout,0,0,79,1,1,0,14,352
after,2,editor,idle,0,0,48,0,1,0,0,0
after,2,editor,leaf,0,0,47,20,8,0,0,0
after,2,editor,full,0,10,48,42,0,0,0,0
after,2,editor,relayout,0,0,48,1,1,0,0,0
after,2,finance,idle,0,0,251,0,1,0,0,0
after,2,finance,leaf,0,2,249,25,19,0,0,0
after,2,finance,full,0,12,249,283,0,0,0,0
after,2,finance,relayout,0,0,249,1,1,0,0,0
